id,loan_amnt,funded_amnt,int_rate,installment,total_pymnt,issue_date,loan_status,term,verification_status,addr_state
38535164,20000,20000,28,617,7401,1,1,36,1,1
38535480,11200,11200,13,380,4584,1,1,36,1,1
38535676,11000,11000,14,261,3130,1,1,60,1,1
38536432,35000,11975,20,451,5451,1,1,36,1,2
38537660,8000,8000,28,253,3034,1,1,36,0,1
38537676,35000,15000,28,498,5509,1,1,36,1,3
38538356,11550,11550,28,383,41913,1,1,36,1,1
38544832,20000,20000,17,714,4267,1,0,36,0,1
38545992,14400,14400,13,489,5866,1,1,36,1,1
38546208,24000,24000,28,759,9102,1,1,36,1,1
38546364,17725,17725,18,455,4229,1,1,60,0,1
38548704,10000,10000,28,1372,3947,1,1,36,1,1
38549164,7000,7000,28,217,2605,1,1,36,1,1
38550072,8000,8000,28,267,2933,1,1,36,0,1
38554632,15600,15600,28,499,16548,1,1,36,1,2
38554824,5000,5000,13,170,41913,1,1,36,0,1
38555408,24000,24000,22,676,3351,1,0,60,1,1
38555648,35000,35000,15,1230,37310,1,1,36,1,2
38556528,14400,14400,28,309,3696,1,0,60,1,1
38557516,25000,25000,28,537,6417,1,1,60,1,1
38557748,8000,8000,28,265,3200,1,1,36,0,1
38558920,6425,6425,16,227,2698,1,1,36,1,2
38559052,3925,3925,18,142,4308,1,1,36,0,1
38559840,18000,18000,28,386,4620,1,1,60,0,1
38559924,12000,12000,28,395,4343,0,1,36,0,1
38559964,22500,22500,14,779,41913,1,1,36,1,1
38559972,27525,27525,28,894,9823,1,1,36,1,2
38560192,19200,19200,28,588,7053,1,1,36,1,1
38560580,15000,15000,14,514,6149,1,1,36,1,1
38565648,15000,15000,28,505,6053,1,1,36,0,1
38565780,35000,20000,28,649,7787,1,1,36,1,3
38566236,4000,1000,28,124,1491,1,1,36,0,1
38568232,5000,5000,28,1372,1385,1,1,36,0,1
38568444,11000,11000,28,367,4033,1,1,36,1,0
38568924,35000,35000,17,1262,15085,1,1,36,1,2
38574328,5000,5000,28,153,1836,0,1,36,1,1
38574688,10000,10000,28,308,3696,1,1,36,0,1
38575020,20000,20000,13,680,21185,1,1,36,1,0
38575428,7500,7500,28,249,8244,1,1,36,0,1
38575508,21000,21000,28,672,8060,1,1,36,1,1
38575648,32000,32000,22,901,9880,1,1,60,0,1
38576232,28250,28250,18,725,8679,0,1,60,1,3
38576432,6000,6000,18,218,2610,1,1,36,1,1
38578152,20000,20000,15,486,5863,1,1,60,1,0
38578252,35000,12000,28,367,12207,1,1,36,0,3
38578316,16000,16000,16,393,4403,1,1,60,1,2
38578336,6000,6000,14,207,2485,1,1,36,1,1
38578772,35000,21000,28,701,8402,1,1,36,1,1
38578932,13000,13000,13,442,5296,1,1,36,1,3
38579492,18000,18000,28,569,6304,1,1,36,1,3
38579704,22000,22000,20,595,22269,1,1,60,1,1
38580404,15000,15000,28,341,4083,1,1,60,1,1
38584624,25000,25000,28,766,9184,1,1,36,1,1
38585064,12000,12000,14,285,3415,1,1,60,1,3
38585276,15000,15000,28,314,3759,1,1,60,0,1
38586208,34500,34500,28,1372,9267,1,1,60,1,1
38586640,10200,10200,28,317,3802,1,1,36,1,1
38586768,8000,8000,28,269,3228,1,1,36,1,1
38587208,15000,15000,28,456,5016,1,1,60,1,1
38587224,18700,1000,25,558,6669,1,1,60,1,1
38587452,15250,15250,28,454,41913,1,1,60,1,4
38587664,13700,13700,23,394,4433,1,1,60,1,3
38587668,24000,24000,28,494,5920,1,1,60,1,4
38587848,10000,10000,14,343,4103,1,1,36,1,1
38589004,22725,22725,17,566,6209,1,1,60,1,2
38589248,13000,13000,28,401,4404,1,1,60,0,1
38589396,21175,21175,28,688,21403,1,1,36,0,3
38589992,9000,9000,13,306,41913,1,1,36,1,1
38596012,20000,20000,28,1372,7787,1,1,36,1,1
38596064,14400,14400,14,494,5924,1,1,36,1,1
38596664,35000,1000,28,1179,12945,2,1,36,1,2
38597008,16000,16000,15,559,6683,1,1,36,1,3
38597444,12000,12000,17,1372,3615,1,1,60,1,1
38597624,35000,35000,28,796,9528,0,1,60,1,1
38598688,8000,8000,28,245,2936,1,1,36,0,0
38598728,3000,3000,28,97,1166,1,1,36,0,3
38598756,10000,10000,17,253,3018,0,1,60,1,1
38599004,20000,20000,28,668,21987,1,1,36,1,1
38599308,12000,12000,28,263,3160,1,1,60,1,3
38599876,4500,4500,14,154,1844,1,1,36,0,3
38604428,17850,1000,17,451,5387,1,1,60,1,1
38605496,11975,11975,21,457,5000,1,1,36,0,1
38606304,15325,15325,18,393,4799,1,1,60,1,3
38607128,16000,16000,28,512,6141,1,1,36,1,1
38607776,4400,4400,28,140,4420,1,1,36,0,1
38608512,10000,10000,15,349,41913,1,1,36,0,1
38608900,6725,6725,28,223,6977,1,1,36,1,3
38609776,11650,11650,20,315,3439,1,1,60,1,1
38610104,21000,21000,15,510,6080,1,1,60,1,1
38614124,20000,20000,28,622,20214,1,1,36,1,1
38614136,20000,20000,13,680,41913,1,1,36,1,3
38614452,35000,35000,13,1190,14258,1,1,36,1,1
38614688,15000,15000,15,527,5766,1,1,36,1,1
38614988,12800,12800,28,431,41913,1,1,36,1,1
38615024,12300,12300,28,382,4202,2,1,36,1,1
38615856,15925,15925,28,585,6994,1,1,36,1,1
38619220,1100,1100,15,38,41913,1,1,36,0,3
38619428,19375,19375,28,440,5275,1,1,60,1,1
38619484,13000,13000,28,434,5220,1,1,36,1,1
38624148,11600,1000,28,387,12820,1,1,36,0,3
38624484,12000,12000,18,308,3674,1,1,60,1,1
38625596,5300,1000,28,178,2138,1,1,36,1,1
38625960,24000,24000,14,562,6728,1,1,60,1,1
38626360,8000,8000,14,274,3014,1,1,36,1,1
38626540,10200,10200,17,1372,3058,1,1,60,1,3
38626776,35000,10000,13,340,3062,1,1,36,1,1
38627360,25000,25000,28,830,25962,1,1,36,1,1
38627576,18000,18000,28,377,4525,1,1,60,1,3
38627820,13975,13975,28,460,5047,1,1,36,1,1
38628264,19875,19875,15,1372,5280,1,1,60,1,1
38628800,4375,4375,17,157,1885,1,1,36,0,1
38628824,16750,16750,22,1372,5704,1,1,60,1,1
38629292,25000,25000,28,771,9242,1,1,36,1,1
38629304,1600,1600,28,59,709,1,1,36,1,1
38629428,21000,21000,28,672,7376,2,1,36,1,1
38630172,9600,9600,28,320,3834,0,1,36,1,1
38630520,30000,30000,28,926,10176,2,1,36,1,1
38634332,30000,30000,24,880,9642,1,1,60,1,1
38634904,35000,35000,19,1300,15567,1,1,36,1,2
38635104,8300,8300,14,287,3445,1,1,36,1,3
38635232,11725,11725,15,409,4908,1,1,36,1,1
38635268,21000,21000,15,510,6089,1,1,60,1,1
38636412,25000,25000,16,884,10596,1,1,36,1,1
38636452,35000,30000,15,729,8791,1,1,60,1,1
38636540,24950,24950,17,621,6794,1,1,60,1,3
38636712,10000,10000,28,1372,3971,1,1,36,1,1
38637028,11400,11400,17,288,3440,1,1,60,1,1
38637944,21600,21600,28,474,5678,1,1,60,1,1
38638032,6000,6000,28,200,2396,1,1,36,1,1
38638088,6500,6500,13,221,2422,1,1,36,1,1
38638104,14700,14700,28,461,41913,1,1,36,0,1
38638436,22000,22000,28,493,5909,1,1,60,1,3
38638464,21000,21000,28,461,23143,1,1,60,1,1
38638816,35000,35000,13,1190,14232,1,1,60,1,1
38640464,29975,29975,19,781,8532,1,1,60,1,0
38644240,35000,22800,20,616,7275,1,1,60,1,4
38644516,25000,25000,28,835,41913,1,1,36,1,3
38644864,10000,10000,28,304,3648,1,1,36,1,1
38645080,25000,25000,28,785,9428,1,1,36,1,1
38645088,23500,23500,28,743,8901,1,1,36,1,1
38645124,20400,20400,28,672,41913,1,1,36,1,1
38645448,28000,28000,14,970,11599,1,1,36,1,3
38645584,35000,21000,15,510,6108,1,1,60,1,1
38645760,19200,19200,28,421,5047,0,1,60,1,1
38646796,21000,21000,13,484,41913,1,1,60,1,3
38647108,25000,25000,28,537,6444,1,1,60,1,1
38648000,8550,8550,19,314,3449,0,1,36,1,1
38648480,15000,15000,14,1372,3156,1,1,60,1,1
38648684,14600,14600,28,484,6050,1,1,36,0,1
38649440,12000,12000,28,377,12593,1,1,36,0,4
38654540,4750,4750,28,149,1786,1,1,36,0,1
38656136,13925,13925,28,347,4152,1,1,60,1,1
38656672,20000,20000,28,448,4923,2,1,60,1,3
38656936,17600,1000,28,400,4791,1,1,60,1,1
38657176,3000,3000,28,100,3160,1,1,36,1,1
38657220,8000,8000,28,256,8520,1,1,36,0,1
38658312,5000,5000,28,167,1666,1,1,36,1,3
38658848,12000,12000,14,415,4993,0,1,36,1,1
38659636,22400,22400,28,686,8221,1,1,36,1,1
38659640,22000,22000,28,730,8738,1,1,36,1,1
38659672,25000,25000,19,651,7755,1,1,60,1,1
38660124,13000,13000,28,431,5172,1,1,36,0,1
38660224,2500,2500,17,90,2769,0,1,36,0,2
38676188,6000,6000,28,194,2331,0,1,36,0,2
38697764,12000,12000,28,389,4665,1,1,60,1,1
38697860,18000,18000,17,448,41913,1,1,60,0,1
38697968,35000,35000,14,832,9960,0,1,60,1,1
38699480,24000,24000,28,1372,9473,1,1,36,1,1
38699512,6400,6400,28,196,2348,1,1,36,0,1
38700452,35000,15000,28,447,5325,1,1,60,1,2
38700484,5600,5600,28,188,2259,1,1,36,1,1
38762136,15000,15000,13,1372,15412,4,1,36,0,1
38762272,13450,13450,21,371,2211,1,0,60,1,1
38762528,3000,1000,16,106,1271,1,1,36,0,1
38772120,15000,15000,28,474,5942,1,0,36,1,3
38802324,35000,35000,28,1088,11945,2,1,60,1,1
38812524,35000,35000,13,808,9672,1,1,60,1,1
38812580,20000,20000,17,506,20070,1,1,60,1,1
38832160,30000,30000,21,828,1565,1,0,60,1,1
38862360,19200,1000,28,607,7282,1,1,36,1,1
38882248,35000,10625,19,390,4660,1,1,36,1,1
38892180,13825,13825,28,461,5700,1,1,36,0,3
38892248,12000,12000,28,370,41913,1,1,36,1,1
38902508,30000,30000,24,880,10522,1,1,60,1,1
38922368,4000,4000,28,128,1420,0,1,36,0,3
38922412,20000,20000,28,628,6904,1,0,36,1,2
38942216,35000,27000,28,821,9050,1,1,36,1,1
38942256,6325,6325,28,211,2530,1,1,36,1,1
38988184,20450,20450,15,714,22803,1,1,36,1,3
38988232,3500,3500,28,110,1327,1,1,36,0,1
38998264,15000,15000,14,514,2047,0,0,36,0,1
39048280,15000,15000,18,385,4223,1,1,60,1,3
39058252,7800,1000,15,274,3009,1,1,36,1,1
39058408,15000,15000,18,385,4608,1,0,60,1,1
39078332,28000,28000,28,935,11174,1,1,36,1,1
39098336,5950,5950,15,209,1667,0,1,36,1,1
39118424,18000,18000,28,555,6651,1,1,60,1,1
